PacketCounter,SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Mag_X,Mag_Y,Mag_Z,Status
49,232072573,0.999997804017742,-0.002025,-0.000165,-0.000513,0.090774,0.053304,0.134526,-0.185303,-0.410645,-0.909424,0
50,232089240,0.999996834029722,-0.002370,0.000385,-0.000754,0.095127,0.054756,0.144265,-0.184326,-0.405518,-0.904541,0
51,232105907,0.999997767023389,-0.001655,0.000761,-0.001071,0.100359,0.057708,0.141167,-0.182861,-0.403809,-0.907471,0
52,232122574,0.999994060008731,-0.001843,0.002444,-0.001584,0.109904,0.066384,0.158031,-0.177490,-0.403809,-0.909424,0
53,232139241,0.999987105618073,-0.002143,0.003991,-0.002295,0.121216,0.072769,0.173121,-0.166748,-0.395752,-0.909424,0
54,232155908,0.999982285791702,-0.001714,0.004552,-0.003431,0.128061,0.081746,0.171950,-0.156006,-0.391357,-0.908447,0
55,232172575,0.999973776661367,-0.001918,0.004920,-0.004956,0.128653,0.102165,0.170190,-0.142822,-0.386475,-0.909912,0
56,232189242,0.999955676813739,-0.003368,0.005418,-0.006924,0.124751,0.114699,0.165492,-0.130615,-0.380615,-0.909912,0
57,232205909,0.999931429034017,-0.004966,0.005896,-0.008816,0.118380,0.109682,0.151617,-0.113037,-0.370361,-0.911621,0
58,232222576,0.999889271293542,-0.008375,0.007222,-0.009958,0.116208,0.095095,0.132329,-0.095947,-0.353760,-0.914551,0
59,232239243,0.999857015322784,-0.009696,0.009203,-0.010355,0.105967,0.082354,0.132939,-0.073486,-0.335938,-0.911621,0
60,232255910,0.999848994515921,-0.010227,0.009073,-0.010727,0.095955,0.061412,0.139798,-0.050537,-0.308350,-0.912109,0
61,232272577,0.999847045602946,-0.010030,0.009297,-0.010902,0.086019,0.035365,0.134181,-0.028564,-0.287109,-0.907227,0
62,232289244,0.999850241911636,-0.009055,0.010249,-0.010604,0.086004,0.022087,0.138087,-0.006104,-0.263428,-0.905273,0
63,232305911,0.999858160199219,-0.008421,0.010855,-0.009742,0.084379,0.003058,0.151939,0.020020,-0.242676,-0.898682,0
